IC_ACAO;TS_DATA_HORA_ACAO;NU_PROCESSO;CODENT;CENTALTA;CUENTA;NUMBENCTA;CODCONECO;PAN;NUMCUOTA;TIPCUOTA;IMPTOTCUO;IMPCUOPER;NUMMESTOT;NUMMESPER;CLAMON;FECALTA;FECPROXPER;FECBAJA;MOTBAJA;FECINIDIF;FECFINDIF;IMPCUODIF;NUMMESDIF;CALPART;CODENTUMO;CODOFIUMO;USUARIOUMO;CODTERMUMO;CONTCUR;TIPOFACANU;VLESTORNOPLANO;VLESTORNOCLIENTE
D;2022-05-17 20:12:48;190;110;1020;100060;100100;130;10400020000200000000;1202000010;M;32 074;86 916;11;21;840;2022-02-10;2022-12-13;2022-03-23;1;2022-04-03;2021-07-07;12500002;11;BE;0104;BATC;ATB063;BATY8;2022-10-18 16:25:50;11;50 787;7 408
D;2022-07-11 04:42:28;199;111;1022;100066;100110;133;10400020000200000000;1202000011;M;20 316;77 957;12;23;840;2022-11-21;2021-09-18;2021-07-02;3;2022-10-31;2021-12-19;12500001;2;TI;0104;BATC;C112144;BATW7;2021-12-23 00:03:18;12;62 641;91 900
D;2022-08-08 15:22:00;208;112;1024;100072;100120;136;10400020000200000000;1202000012;S;41 850;68 977;13;25;840;2022-11-10;2022-08-12;2021-04-23;1;2022-06-27;2021-10-14;12500000;2;BE;0104;BATC;F780328;BATM4;2021-03-08 03:05:28;13;1 162;10 182
D;2023-01-21 06:09:41;217;113;1026;100078;100130;139;10400020000200000000;1202000013;M;30 128;46 555;14;27;986;2021-08-15;2022-08-19;2023-01-22;1;2022-11-07;2021-03-08;12499999;4;TI;0104;BATC;ATB063;BATK7;2022-08-24 23:31:17;14;91 769;88 809
A;2021-02-03 05:12:17;226;114;1028;100084;100140;142;10400020000200000000;1202000014;S;91 795;29 348;15;29;840;2021-11-15;2022-02-20;2022-11-13;1;2021-09-30;2022-02-09;12499998;2;BE;0104;BATC;F653765;BATM3;2022-10-29 12:13:57;15;47 987;80 759
D;2021-05-11 18:19:23;235;115;1030;100090;100150;145;10400020000200000000;1202000015;E;29 320;67 780;16;31;986;2022-10-27;2021-05-03;2023-01-17;1;2021-07-09;2022-11-21;12499997;3;BE;0104;BATC;F563619;BATCC;2022-08-02 23:37:08;16;51 552;10 383
D;2022-10-14 00:31:20;244;116;1032;100096;100160;148;10400020000200000000;1202000016;S;85 167;21 845;17;33;840;2022-09-03;2021-11-27;2021-07-05;0;2021-03-27;2022-05-30;12499996;10;TI;0104;BATC;C112144;BATWC;2021-03-12 08:40:10;17;91 549;66 419
A;2022-08-23 09:02:03;253;117;1034;100102;100170;151;10400020000200000000;1202000017;S;16 038;1 351;18;35;986;2021-03-07;2022-02-13;2021-02-28;1;2022-06-17;2022-06-23;12499995;3;TI;0104;BATC;ATB063;BATD9;2021-09-23 08:08:58;18;69 997;84 693
D;2021-05-28 18:33:48;262;118;1036;100108;100180;154;10400020000200000000;1202000018;E;10 463;42 500;19;37;840;2022-07-21;2022-12-12;2021-09-15;0;2021-02-16;2021-12-30;12499994;2;TI;0104;BATC;ATB063;BATW7;2021-02-07 13:06:33;19;3 650;31 084
A;2022-04-19 22:56:55;271;119;1038;100114;100190;157;10400020000200000000;1202000019;M;79 232;90 195;20;39;986;2022-09-06;2021-02-05;2021-04-27;3;2022-09-03;2021-12-07;12499993;8;BE;0104;BATC;F563619;BATL5;2021-09-27 07:47:37;20;79 434;78 752
I;2021-02-04 08:00:06;280;120;1040;100120;100200;160;10400020000200000000;1202000020;S;83 894;44 548;21;41;986;2022-03-21;2021-03-31;2021-10-24;0;2022-04-11;2022-01-20;12499992;5;BE;0104;BATC;ATB063;BATV3;2021-11-01 09:56:36;21;45 075;79 491
I;2022-12-02 09:35:22;289;121;1042;100126;100210;163;10400020000200000000;1202000021;M;20 051;10 445;22;43;986;2022-08-20;2021-04-18;2021-03-01;3;2021-08-02;2021-02-14;12499991;10;TI;0104;BATC;F563619;BATR5;2022-06-30 17:33:14;22;71 060;60 816
I;2021-11-05 03:21:30;298;122;1044;100132;100220;166;10400020000200000000;1202000022;S;86 018;46 465;23;45;840;2022-09-01;2022-02-22;2022-11-26;0;2021-11-27;2021-06-26;12499990;6;BE;0104;BATC;ATB063;BATW3;2021-07-11 03:40:11;23;31 627;85 148
I;2022-08-18 12:38:10;307;123;1046;100138;100230;169;10400020000200000000;1202000023;S;48 444;79 212;24;47;986;2022-05-27;2022-05-08;2021-06-09;1;2021-12-26;2022-06-02;12499989;12;BE;0104;BATC;C112144;BATJ8;2021-02-11 14:21:17;24;32 989;29 546
I;2022-10-05 09:39:51;316;124;1048;100144;100240;172;10400020000200000000;1202000024;M;4 973;51 443;25;49;986;2021-05-12;2022-11-22;2022-01-27;3;2022-11-11;2022-11-22;12499988;3;BE;0104;BATC;C112144;BATRA;2021-12-02 20:49:07;25;8 384;15 315
D;2022-07-24 02:37:29;325;125;1050;100150;100250;175;10400020000200000000;1202000025;S;69 460;16 709;26;51;986;2022-10-20;2022-04-28;2021-06-20;1;2022-11-16;2023-01-25;12499987;10;TI;0104;BATC;F563619;BATYA;2021-05-13 16:27:00;26;15 127;86 951
A;2021-04-13 07:41:55;334;126;1052;100156;100260;178;10400020000200000000;1202000026;E;52 494;77 596;27;53;840;2022-12-03;2022-04-22;2022-06-15;1;2022-03-16;2021-08-01;12499986;11;TI;0104;BATC;F563619;BATYB;2022-12-22 01:30:21;27;50 297;86 476
D;2021-04-10 18:34:47;343;127;1054;100162;100270;181;10400020000200000000;1202000027;E;85 286;63 139;28;55;840;2022-09-19;2021-09-29;2022-09-06;1;2022-03-06;2021-04-14;12499985;2;BE;0104;BATC;C112144;BATHD;2021-04-23 10:27:08;28;3 802;27 454
A;2022-08-24 04:38:10;352;128;1056;100168;100280;184;10400020000200000000;1202000028;M;643;83 881;29;57;986;2023-01-19;2022-02-25;2022-04-08;3;2023-01-26;2022-05-28;12499984;6;BE;0104;BATC;F563619;BATT8;2022-07-11 04:04:18;29;53 112;2 546
D;2022-11-24 08:54:39;361;129;1058;100174;100290;187;10400020000200000000;1202000029;M;56 193;93 248;30;59;986;2022-09-23;2021-02-10;2021-07-09;0;2021-05-17;2022-12-06;12499983;5;BE;0104;BATC;F780328;BATN1;2021-04-14 01:38:45;30;94 651;9 807
D;2021-10-17 05:45:18;370;130;1060;100180;100300;190;10400020000200000000;1202000030;S;68 133;14 371;31;61;840;2023-01-12;2022-09-15;2022-08-09;1;2021-09-21;2022-11-16;12499982;11;BE;0104;BATC;F780328;BATV1;2022-10-22 05:41:29;31;77 544;58 678
A;2021-08-30 03:14:29;379;131;1062;100186;100310;193;10400020000200000000;1202000031;S;97 764;63 468;32;63;986;2022-04-23;2022-07-05;2022-12-29;1;2022-11-30;2021-03-15;12499981;7;BE;0104;BATC;ATB063;BATL6;2021-12-30 08:42:36;32;61 665;55 402
D;2021-03-15 11:48:30;388;132;1064;100192;100320;196;10400020000200000000;1202000032;E;63 960;11 164;33;65;986;2022-05-12;2021-11-24;2022-02-04;3;2022-03-25;2022-07-16;12499980;7;TI;0104;BATC;F563619;BATR0;2022-01-02 11:43:11;33;6 279;63 433
D;2022-07-03 04:40:35;397;133;1066;100198;100330;199;10400020000200000000;1202000033;M;96 713;10 024;34;67;986;2022-01-28;2023-01-24;2021-04-27;3;2022-01-05;2021-02-05;12499979;2;TI;0104;BATC;F653765;BATP9;2022-01-15 18:04:19;34;43 511;67 273
D;2021-11-12 11:15:23;406;134;1068;100204;100340;202;10400020000200000000;1202000034;S;67 510;58 376;35;69;986;2022-11-27;2022-08-03;2021-12-11;1;2022-04-08;2021-08-08;12499978;2;TI;0104;BATC;ATB063;BATQC;2021-10-23 21:21:41;35;53 100;92 274
D;2022-09-20 18:42:34;415;135;1070;100210;100350;205;10400020000200000000;1202000035;M;59 806;37 411;36;71;986;2021-07-15;2021-07-01;2022-09-04;0;2022-11-17;2021-07-01;12499977;6;TI;0104;BATC;ATB063;BATJB;2022-12-23 12:41:06;36;2 140;19 621
D;2021-06-07 20:07:23;424;136;1072;100216;100360;208;10400020000200000000;1202000036;S;51 177;40 191;37;73;840;2021-06-23;2021-11-28;2022-12-17;1;2022-10-13;2021-05-06;12499976;4;TI;0104;BATC;F563619;BATW8;2022-04-27 04:06:17;37;41 812;6 414
D;2021-08-17 23:31:14;433;137;1074;100222;100370;211;10400020000200000000;1202000037;M;8 526;62 842;38;75;986;2021-04-03;2022-10-27;2022-02-28;3;2023-01-19;2022-08-18;12499975;8;BE;0104;BATC;ATB063;BATM6;2021-10-22 10:19:25;38;10 480;3 220
I;2022-11-25 01:02:53;442;138;1076;100228;100380;214;10400020000200000000;1202000038;S;28 981;83 959;39;77;840;2022-07-02;2021-09-09;2022-07-01;1;2022-05-16;2022-01-28;12499974;7;BE;0104;BATC;F563619;BATLC;2021-09-16 08:56:05;39;82 151;87 760
A;2021-05-23 21:57:23;451;139;1078;100234;100390;217;10400020000200000000;1202000039;E;42 281;23 814;40;79;840;2022-10-19;2021-03-21;2021-05-07;1;2022-11-09;2022-05-12;12499973;11;TI;0104;BATC;F780328;BATP2;2021-09-06 18:11:27;40;4 378;86 926
D;2022-02-21 10:38:53;460;140;1080;100240;100400;220;10400020000200000000;1202000040;M;63 333;49 833;41;81;840;2022-05-23;2021-05-21;2022-01-01;3;2022-09-02;2021-12-28;12499972;7;TI;0104;BATC;F563619;BATN4;2022-07-21 10:30:06;41;27 714;93 180
A;2021-02-12 04:18:07;469;141;1082;100246;100410;223;10400020000200000000;1202000041;S;40 931;15 751;42;83;986;2022-02-14;2021-11-15;2022-05-05;0;2022-05-21;2022-01-10;12499971;6;BE;0104;BATC;C112144;BATG1;2022-01-29 22:52:34;42;94 061;14 678
A;2021-04-18 11:45:10;478;142;1084;100252;100420;226;10400020000200000000;1202000042;S;89 490;81 591;43;85;840;2021-09-25;2021-12-22;2021-10-21;0;2021-02-06;2022-08-16;12499970;1;BE;0104;BATC;C112144;BATXB;2021-08-16 01:13:22;43;13 144;32 772
A;2023-01-24 05:01:54;487;143;1086;100258;100430;229;10400020000200000000;1202000043;E;38 718;50 832;44;87;840;2021-03-29;2021-04-27;2021-12-14;0;2021-08-04;2022-04-07;12499969;3;BE;0104;BATC;F780328;BATN1;2022-01-25 11:29:36;44;8 190;80 125
I;2022-12-25 10:22:41;496;144;1088;100264;100440;232;10400020000200000000;1202000044;M;21 141;84 462;45;89;986;2022-07-08;2022-11-07;2022-07-07;0;2022-07-30;2021-06-21;12499968;11;TI;0104;BATC;F780328;BATPD;2021-05-17 15:50:21;45;37 514;29 608
I;2022-03-28 14:31:17;505;145;1090;100270;100450;235;10400020000200000000;1202000045;S;30 681;28 665;46;91;986;2022-06-03;2022-10-22;2021-04-04;1;2022-03-19;2021-04-05;12499967;6;BE;0104;BATC;ATB063;BATJ7;2022-08-10 22:32:52;46;65 968;63 975
D;2021-03-03 21:40:17;514;146;1092;100276;100460;238;10400020000200000000;1202000046;S;95 024;95 353;47;93;986;2023-01-11;2021-05-22;2021-02-13;3;2023-01-08;2022-10-12;12499966;3;BE;0104;BATC;F563619;BATCA;2021-11-11 00:15:55;47;97 173;77 801
A;2021-08-07 06:22:05;523;147;1094;100282;100470;241;10400020000200000000;1202000047;E;69 914;36 114;48;95;986;2022-10-31;2022-12-19;2022-06-27;1;2021-06-25;2021-02-22;12499965;8;BE;0104;BATC;C112144;BATM8;2022-02-06 13:29:55;48;6 457;26 038
D;2022-11-03 11:34:59;532;148;1096;100288;100480;244;10400020000200000000;1202000048;M;83 536;72 506;49;97;840;2021-05-08;2022-09-07;2021-08-14;1;2021-12-13;2022-03-20;12499964;7;TI;0104;BATC;F780328;BATXE;2023-01-19 03:24:30;49;58 229;90 014
A;2022-12-21 02:58:15;541;149;1098;100294;100490;247;10400020000200000000;1202000049;S;43 884;67 909;50;99;986;2021-02-15;2022-01-25;2022-11-06;3;2021-02-10;2022-12-17;12499963;6;TI;0104;BATC;F563619;BATX2;2022-06-04 18:34:47;50;31 713;87 493
D;2021-03-06 06:11:33;550;150;1100;100300;100500;250;10400020000200000000;1202000050;E;39 089;64 301;51;101;840;2021-08-22;2022-12-29;2022-01-09;1;2021-04-06;2021-07-11;12499962;2;BE;0104;BATC;C112144;BATMA;2022-10-08 14:00:50;51;28 752;39 300
A;2021-02-21 01:08:53;559;151;1102;100306;100510;253;10400020000200000000;1202000051;M;69 095;50 684;52;103;840;2023-01-26;2021-03-19;2021-03-10;1;2022-04-04;2021-04-23;12499961;7;TI;0104;BATC;F653765;BATZ7;2021-05-22 16:37:19;52;10 525;75 667
A;2022-05-04 00:04:00;568;152;1104;100312;100520;256;10400020000200000000;1202000052;S;65 364;995;53;105;840;2021-04-26;2022-11-28;2021-06-29;1;2021-05-27;2022-01-18;12499960;11;TI;0104;BATC;F563619;BATRE;2021-05-06 12:08:14;53;59 017;23 378
D;2021-09-15 12:37:28;577;153;1106;100318;100530;259;10400020000200000000;1202000053;S;42 896;89 883;54;107;840;2022-10-11;2022-11-27;2021-06-10;3;2021-11-29;2022-05-25;12499959;8;BE;0104;BATC;F653765;BATV7;2022-02-23 15:22:23;54;20 055;15 223
D;2021-10-12 06:23:01;586;154;1108;100324;100540;262;10400020000200000000;1202000054;S;29 704;8 124;55;109;986;2021-04-10;2022-01-07;2022-07-19;1;2022-05-21;2021-05-12;12499958;10;BE;0104;BATC;ATB063;BATN5;2022-06-26 08:32:20;55;82 673;3 899
D;2021-10-15 11:44:19;595;155;1110;100330;100550;265;10400020000200000000;1202000055;M;32 914;25 209;56;111;840;2021-07-15;2021-11-05;2022-04-18;1;2023-01-28;2022-07-15;12499957;4;TI;0104;BATC;F780328;BATFC;2021-04-23 01:23:45;56;21 833;25 012
D;2021-02-21 15:37:31;604;156;1112;100336;100560;268;10400020000200000000;1202000056;M;94 335;72 195;57;113;986;2022-08-24;2022-01-10;2022-01-28;0;2021-02-21;2023-01-18;12499956;10;TI;0104;BATC;ATB063;BATC3;2021-05-08 10:04:39;57;83 580;74 005
A;2022-08-16 21:06:40;613;157;1114;100342;100570;271;10400020000200000000;1202000057;S;74 610;56 649;58;115;986;2022-11-08;2021-03-03;2021-10-30;3;2021-11-26;2021-08-01;12499955;4;BE;0104;BATC;C112144;BATYA;2021-04-04 23:12:57;58;86 034;39 376
D;2021-10-04 22:20:47;622;158;1116;100348;100580;274;10400020000200000000;1202000058;S;65 233;70 519;59;117;986;2021-07-30;2021-12-28;2021-07-29;1;2021-10-30;2022-07-19;12499954;9;TI;0104;BATC;F563619;BATN9;2021-07-20 12:34:56;59;14 590;28 103
D;2022-11-09 15:46:11;631;159;1118;100354;100590;277;10400020000200000000;1202000059;M;15 169;17 759;60;119;986;2022-10-04;2022-08-28;2022-01-16;1;2021-03-12;2022-07-22;12499953;5;TI;0104;BATC;F563619;BATX7;2021-08-08 13:58:49;60;65 838;89 809
D;2021-06-13 01:34:47;640;160;1120;100360;100600;280;10400020000200000000;1202000060;S;58 727;81 158;61;121;986;2021-07-10;2022-06-24;2021-11-01;1;2021-08-02;2022-11-30;12499952;8;BE;0104;BATC;ATB063;BATD0;2022-12-01 14:18:24;61;7 370;34 749
D;2022-01-01 08:13:49;649;161;1122;100366;100610;283;10400020000200000000;1202000061;M;20 914;94 273;62;123;840;2021-04-17;2022-07-11;2021-04-07;0;2021-11-23;2022-07-23;12499951;1;BE;0104;BATC;ATB063;BATSB;2021-06-04 19:16:58;62;94 990;70 849
I;2022-05-24 12:50:45;658;162;1124;100372;100620;286;10400020000200000000;1202000062;S;792;93 688;63;125;840;2021-08-23;2022-01-22;2021-11-04;1;2022-01-15;2022-10-12;12499950;6;TI;0104;BATC;C112144;BATB8;2022-10-13 21:02:41;63;91 237;55 795
D;2021-11-14 11:11:58;667;163;1126;100378;100630;289;10400020000200000000;1202000063;S;40 121;49 653;64;127;840;2023-01-26;2022-04-27;2021-08-13;1;2021-03-03;2022-09-15;12499949;6;TI;0104;BATC;F563619;BATRD;2021-10-07 04:15:07;64;59 932;65 031
D;2022-11-11 05:00:44;676;164;1128;100384;100640;292;10400020000200000000;1202000064;S;67 209;88 643;65;129;840;2021-07-28;2021-10-20;2021-06-23;3;2021-05-01;2022-12-18;12499948;5;TI;0104;BATC;C112144;BATYB;2021-07-10 22:01:46;65;15 143;17 265
D;2022-04-15 05:31:43;685;165;1130;100390;100650;295;10400020000200000000;1202000065;S;57 259;25 487;66;131;986;2022-07-11;2022-08-11;2021-07-13;3;2021-11-14;2022-12-18;12499947;1;BE;0104;BATC;F563619;BATND;2022-12-14 01:58:34;66;22 663;22 278
A;2022-07-31 01:07:36;694;166;1132;100396;100660;298;10400020000200000000;1202000066;E;70 197;7 072;67;133;986;2022-07-15;2022-01-01;2022-05-04;1;2022-04-30;2022-02-05;12499946;12;BE;0104;BATC;ATB063;BATYB;2021-04-23 23:49:11;67;77 168;7 108
I;2022-04-22 14:20:48;703;167;1134;100402;100670;301;10400020000200000000;1202000067;S;1 743;53 811;68;135;840;2022-05-28;2022-01-14;2021-04-23;1;2022-02-24;2021-09-28;12499945;6;BE;0104;BATC;F563619;BATWE;2021-02-14 02:05:59;68;98 396;46 799
I;2022-09-18 10:38:09;712;168;1136;100408;100680;304;10400020000200000000;1202000068;E;59 116;34 538;69;137;840;2021-06-02;2022-08-13;2022-02-17;3;2021-08-13;2022-04-12;12499944;6;BE;0104;BATC;F563619;BATCA;2022-03-30 20:31:35;69;48 893;21 831
D;2021-12-14 16:45:08;721;169;1138;100414;100690;307;10400020000200000000;1202000069;S;94 262;88 187;70;139;840;2021-12-17;2021-12-19;2022-08-28;3;2021-04-27;2021-04-14;12499943;2;TI;0104;BATC;F563619;BATK4;2021-11-16 13:56:57;70;93 690;36 282
D;2022-04-19 17:37:22;730;170;1140;100420;100700;310;10400020000200000000;1202000070;S;62 910;36 449;71;141;840;2021-07-27;2022-06-05;2021-10-18;0;2022-12-22;2022-02-25;12499942;2;TI;0104;BATC;F780328;BATKC;2021-10-27 05:03:27;71;6 616;28 288
D;2022-01-26 04:12:52;739;171;1142;100426;100710;313;10400020000200000000;1202000071;S;49 234;31 797;72;143;986;2021-08-25;2021-05-07;2021-02-18;0;2022-03-04;2021-02-26;12499941;2;BE;0104;BATC;C112144;BATGD;2021-10-08 23:14:50;72;52 843;20 819
A;2021-02-15 02:35:06;748;172;1144;100432;100720;316;10400020000200000000;1202000072;M;51 200;64 301;73;145;986;2021-02-07;2021-05-15;2021-06-25;1;2021-09-14;2021-04-23;12499940;11;BE;0104;BATC;F653765;BATP5;2022-01-05 11:50:57;73;56 172;23 839
I;2022-09-14 16:50:12;757;173;1146;100438;100730;319;10400020000200000000;1202000073;M;24 254;55 380;74;147;840;2022-05-05;2022-12-17;2023-01-19;0;2022-04-22;2023-01-02;12499939;4;BE;0104;BATC;ATB063;BATG5;2021-07-29 04:19:13;74;58 215;8 224
D;2021-07-03 16:53:14;766;174;1148;100444;100740;322;10400020000200000000;1202000074;S;20 355;24 466;75;149;840;2022-12-15;2021-05-05;2021-05-01;3;2021-05-02;2021-08-02;12499938;3;BE;0104;BATC;C112144;BATV4;2022-06-05 20:06:46;75;1 541;95 356
I;2022-12-29 11:01:35;775;175;1150;100450;100750;325;10400020000200000000;1202000075;E;36 284;17 985;76;151;986;2022-10-03;2021-06-01;2022-10-09;1;2021-02-05;2023-01-05;12499937;3;TI;0104;BATC;ATB063;BATK6;2022-02-11 09:31:08;76;78 740;65 367
A;2022-07-06 05:54:13;784;176;1152;100456;100760;328;10400020000200000000;1202000076;M;11 568;92 401;77;153;840;2022-06-24;2022-01-24;2021-05-31;0;2022-05-20;2022-10-20;12499936;5;BE;0104;BATC;C112144;BATTF;2022-11-17 07:09:18;77;10 717;9 638
I;2021-12-18 22:03:26;793;177;1154;100462;100770;331;10400020000200000000;1202000077;S;14 254;94 598;78;155;986;2021-05-19;2022-08-11;2021-07-07;0;2022-11-08;2023-01-11;12499935;9;TI;0104;BATC;F563619;BATBB;2021-04-04 15:10:06;78;64 918;48 401
D;2021-06-08 15:49:41;802;178;1156;100468;100780;334;10400020000200000000;1202000078;S;61 700;62 955;79;157;840;2021-12-11;2021-06-29;2022-12-01;3;2021-08-25;2022-04-23;12499934;2;TI;0104;BATC;F653765;BATV5;2021-07-04 20:42:08;79;21 182;9 160
D;2021-07-20 16:08:03;811;179;1158;100474;100790;337;10400020000200000000;1202000079;E;53 694;51 144;80;159;840;2021-02-13;2021-07-22;2022-12-30;1;2022-01-20;2021-07-15;12499933;2;BE;0104;BATC;F563619;BATQB;2021-02-05 15:55:23;80;32 972;2 167
D;2021-09-24 14:47:57;820;180;1160;100480;100800;340;10400020000200000000;1202000080;S;95 059;26 777;81;161;986;2021-10-03;2022-01-01;2022-07-03;1;2022-05-23;2021-09-15;12499932;4;BE;0104;BATC;ATB063;BATGB;2022-06-10 21:05:28;81;17 285;74 728
A;2022-06-14 09:50:10;829;181;1162;100486;100810;343;10400020000200000000;1202000081;M;86 201;10 450;82;163;840;2021-11-10;2021-07-30;2022-04-04;1;2021-03-22;2022-11-04;12499931;2;TI;0104;BATC;F563619;BATXD;2022-10-26 02:09:40;82;70 559;69 034
A;2021-05-10 01:12:10;838;182;1164;100492;100820;346;10400020000200000000;1202000082;S;75 358;24 583;83;165;986;2023-01-18;2022-01-14;2022-07-21;1;2021-02-09;2022-02-10;12499930;3;BE;0104;BATC;F653765;BATX3;2021-07-15 02:28:48;83;90 860;31 227
I;2021-04-09 01:37:15;847;183;1166;100498;100830;349;10400020000200000000;1202000083;S;82 233;95 020;84;167;986;2021-02-07;2022-03-13;2021-11-19;1;2022-02-06;2022-11-12;12499929;10;BE;0104;BATC;F653765;BATP4;2022-02-06 06:20:00;84;86 113;35 271
D;2022-09-09 04:36:32;856;184;1168;100504;100840;352;10400020000200000000;1202000084;S;3 507;92 443;85;169;986;2023-01-22;2022-05-04;2021-03-29;3;2022-08-08;2022-01-29;12499928;8;BE;0104;BATC;F563619;BATW3;2022-09-18 22:27:16;85;66 202;57 710
I;2021-10-20 00:10:09;865;185;1170;100510;100850;355;10400020000200000000;1202000085;E;87 520;45 694;86;171;840;2022-12-08;2022-01-31;2022-03-17;1;2021-11-15;2022-08-06;12499927;5;BE;0104;BATC;F780328;BATP7;2021-04-20 18:38:51;86;71 413;84 249
I;2022-06-09 23:36:32;874;186;1172;100516;100860;358;10400020000200000000;1202000086;S;62 370;5 440;87;173;840;2022-04-07;2021-10-30;2021-04-28;1;2021-04-27;2021-10-26;12499926;11;TI;0104;BATC;F563619;BATZ8;2021-06-01 03:13:20;87;3 222;12 819
I;2022-11-06 22:11:08;883;187;1174;100522;100870;361;10400020000200000000;1202000087;S;15 614;21 673;88;175;840;2021-07-18;2022-09-22;2022-02-02;1;2022-04-19;2021-10-19;12499925;2;TI;0104;BATC;F653765;BATW8;2021-09-26 00:21:52;88;5 279;60 347
D;2022-01-14 16:28:25;892;188;1176;100528;100880;364;10400020000200000000;1202000088;M;90 319;22 951;89;177;986;2021-09-21;2022-06-16;2021-11-24;3;2021-06-06;2023-01-21;12499924;11;BE;0104;BATC;F563619;BATZE;2022-12-03 18:51:16;89;54 693;82 270
I;2023-01-03 06:54:45;901;189;1178;100534;100890;367;10400020000200000000;1202000089;M;72 588;25 117;90;179;840;2021-12-26;2021-10-12;2021-05-16;0;2022-01-23;2021-12-26;12499923;7;TI;0104;BATC;ATB063;BATYF;2022-06-30 03:01:28;90;64 952;41 995
D;2021-08-11 22:19:55;910;190;1180;100540;100900;370;10400020000200000000;1202000090;M;36 399;79 413;91;181;840;2021-05-10;2021-06-11;2022-08-17;0;2022-10-03;2022-02-24;12499922;5;BE;0104;BATC;C112144;BATW2;2021-04-20 15:43:14;91;88 445;52 593
D;2022-05-14 03:27:47;919;191;1182;100546;100910;373;10400020000200000000;1202000091;S;58 493;51 941;92;183;986;2023-01-30;2021-09-28;2022-11-03;0;2022-07-21;2022-02-13;12499921;5;BE;0104;BATC;F780328;BATQB;2021-05-03 11:27:10;92;45 260;73 270
I;2022-01-22 02:56:49;928;192;1184;100552;100920;376;10400020000200000000;1202000092;S;17 062;29 190;93;185;840;2022-04-21;2021-11-17;2022-07-16;1;2022-11-02;2022-11-01;12499920;10;BE;0104;BATC;C112144;BATWC;2021-12-09 19:04:31;93;35 253;37 118
